CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
525543260,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543270,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543280,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543290,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543300,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543310,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543320,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343780,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343790,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343800,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543850,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543855,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543859,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525544390,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
