CODE,DESTINATION,CONNEC COSTO,COST /MIN,GRACE TIME,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
34699,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
347170,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
347177,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34600,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346010,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346011,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346012,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346013,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346014,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346015,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346017,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346034,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346035,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346036,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346037,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346038,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346046,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346047,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34607,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34610,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346119,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34617,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34627,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34634,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34637,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34647,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34661,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34662,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34663,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34664,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34666,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34667,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34670,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34671,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34672,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34673,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34674,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34677,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34678,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34687,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346949,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
34697,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
347111,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
347117,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
347171,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
347277,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
347449,Spain Cellular-Vodafone,0,0.7425,0,1,1,0,1,
346040,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346130,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346131,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346132,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346133,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
34622,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346230,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346231,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346232,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346233,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346234,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346235,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346237,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346238,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346239,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
34633,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346343,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346846,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
346981,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
347221,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
347222,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
347223,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
347224,Spain Cellular-Xfera,0,0.7425,0,1,1,0,1,
